source_path,data_row_1based,field,stored_value,source_sha256,manuscript_artifact_binding,raw_observation_binding
14_artifacts/manuscript_stack/data/ablation_samples.csv,1,risk_increase_pp,0.13826309032078496,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,2,risk_increase_pp,-0.5550977877768426,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,3,risk_increase_pp,0.6042584472687683,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,4,risk_increase_pp,-0.3795731764344604,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,5,risk_increase_pp,-1.0887155993008206,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,6,risk_increase_pp,-0.060550001272335036,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,7,risk_increase_pp,1.1308718177390473,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,8,risk_increase_pp,0.17253880441023686,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,9,risk_increase_pp,-1.1126616695887883,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,10,risk_increase_pp,-0.31891946257831083,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,11,risk_increase_pp,1.262767622811629,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,12,risk_increase_pp,-0.4571991781721605,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,13,risk_increase_pp,0.6708195403051095,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,14,risk_increase_pp,-0.1024029075810022,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,15,risk_increase_pp,-0.7509325322934959,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,16,risk_increase_pp,-0.16536449899729103,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
14_artifacts/manuscript_stack/data/ablation_samples.csv,17,risk_increase_pp,0.026931245995790817,b7d2e0a912c5d4619bcc3a83827072c9b64c09a009ba567459f8658500cd665b,DATA_AUTHORITY_ONLY,NOT_RETAINED
