severity,mode,bound_violation,utility,audit_coverage,alarm_power
0.0,Static calibration,1.2,86.0,95.0,8.0
0.0,Monitored gate,1.1,85.0,95.0,10.0
0.0,Rolling recalibration,1.0,84.0,95.0,10.0
0.05,Static calibration,1.2500655155832172,85.4,94.4,9.176664385626307
0.05,Monitored gate,1.1549572217574822,84.47984211504826,94.75,12.306977140942848
0.05,Rolling recalibration,1.0606134642395613,83.40709244071444,94.85,12.807360448990202
0.1,Static calibration,1.3743382511707225,84.8,93.8,11.10523593031728
0.1,Monitored gate,1.2353205530793636,83.76284908458123,94.5,15.300041693633624
0.1,Rolling recalibration,1.1345096990329862,82.72907482444116,94.7,16.229922902580416
0.15000000000000002,Static calibration,1.5617070315264265,84.2,93.2,13.478004256454064
0.15000000000000002,Monitored gate,1.329235777886759,82.94630117494802,94.25,18.62161840437476
0.15000000000000002,Rolling recalibration,1.214416670964011,82.01472639906453,94.55,19.930877392017344
0.2,Static calibration,1.8070810510429345,83.6,92.6,16.194766749739756
0.2,Monitored gate,1.4331982858688053,82.05754265810374,94.0,22.176298349785288
0.2,Rolling recalibration,1.2984957114880706,81.27571224793348,94.4,23.825064532079054
0.25,Static calibration,2.1071616886563644,83.0,92.0,19.199808961221095
0.25,Monitored gate,1.5453339198858518,81.11091270347399,93.75,25.91502394835918
0.25,Rolling recalibration,1.3858198882692119,80.5177977468155,94.25,27.869552719837184
0.30000000000000004,Static calibration,2.4595370401739984,82.4,91.4,22.456539903277445
0.30000000000000004,Monitored gate,1.6644446945681188,80.11545349035092,93.5,29.8072777570349
0.30000000000000004,Rolling recalibration,1.4758203848081646,79.74447287728698,94.1,32.037996770062364
0.35000000000000003,Static calibration,2.8623220474662814,81.8,90.8,25.938654474409322
0.35000000000000003,Monitored gate,1.7896872887439814,79.07746363168637,93.25,33.83202464310911
0.35000000000000003,Rolling recalibration,1.5681092387547717,78.95809299114084,93.95,36.312427900221
0.4,Static calibration,3.3139790038073187,81.2,90.2,29.626119106440573
0.4,Monitored gate,1.920430416366964,78.00161758684996,93.0,37.97378776870294
0.4,Rolling recalibration,1.6624034580206684,78.16036136604492,93.8,40.67973910832569
0.45,Static calibration,3.813215406484626,80.6,89.6,33.50304997780321
0.45,Monitored gate,2.0561808290680785,76.89154103775407,92.75,42.22065038766462
0.45,Rolling recalibration,1.7584867382861487,77.35257038159453,93.65,45.129912089042676
0.5,Static calibration,4.358920476241846,80.0,89.0,37.55647304695276
0.5,Monitored gate,2.196540735080918,75.75013943220914,92.5,46.56312365843721
0.5,Rolling recalibration,1.8561879394802887,76.53573606770554,93.5,49.655020354876534
0.55,Static calibration,4.950123119980847,79.4,88.4,41.77554519320412
0.55,Monitored gate,2.3411814050219166,74.57980028744326,92.25,50.993454103124265
0.55,Rolling recalibration,1.9553680073708684,75.71067931891832,93.35,54.248623499282324
0.6000000000000001,Static calibration,5.58596271926323,78.8,87.8,46.15103752955719
0.6000000000000001,Monitored gate,2.4898258647194345,73.3825250743272,92.0,55.505174752950694
0.6000000000000001,Rolling recalibration,2.055911546341428,74.87807792154551,93.2,58.905376883181944
0.65,Static calibration,6.2656680473071855,78.2,87.2,50.6749776161
0.65,Monitored gate,2.6422370343317345,72.16001913183057,91.75,60.0928007185332
0.65,Rolling recalibration,2.1577211333540554,74.03850147558353,93.05,63.6207682816615
0.7000000000000001,Static calibration,6.988541579205353,77.6,86.6,55.34039297520934
0.7000000000000001,Monitored gate,2.7982093049843098,70.9137552238781,91.5,64.75161500757648
0.7000000000000001,Rolling recalibration,2.2607133362439944,73.19243573465805,92.9,68.39093346814289
0.75,Static calibration,7.753947516489526,77.0,86.0,60.1411218955056
0.75,Monitored gate,2.9575623781508638,69.64501982481536,91.25,69.47751321157882
0.75,Rolling recalibration,2.3648158387290668,72.34030010564312,92.75,73.21252305692522
0.8,Static calibration,8.561302450242565,76.4,85.4,65.07167048053034
0.8,Monitored gate,3.1201366472968624,68.3549476815441,91.0,74.26688798589049
0.8,Rolling recalibration,2.4699653104238157,71.48246056265052,92.6,78.0826038512083
0.8500000000000001,Static calibration,9.410067948195477,75.8,84.8,70.12710240620221
0.8500000000000001,Monitored gate,3.2857896620707567,67.04454817814168,90.75,79.11654124917717
0.8500000000000001,Rolling recalibration,2.5761057938339924,70.61923939104884,92.45,82.99858413546914
0.9,Static calibration,10.299744576517202,75.2,84.2,75.30295238909564
0.9,Monitored gate,3.45439337170935,65.71472582077912,90.5,84.02361619448985
0.9,Rolling recalibration,2.683187459541247,69.75092268183052,92.3,87.95815602085777
0.9500000000000001,Static calibration,11.229867012378811,74.6,83.6,80.59515721272764
0.9500000000000001,Monitored gate,3.6258319416620806,64.36629641156003,90.25,88.98554377862169
0.9500000000000001,Rolling recalibration,2.7911656295738556,68.87776619275571,92.15,92.95925021184172
1.0,Static calibration,12.2,74.0,83.0,86.0
1.0,Monitored gate,3.8000000000000003,63.0,90.0,94.0
1.0,Rolling recalibration,2.9,68.0,92.0,98.0
