method,latency_s
NoCert,1.2453878504317148
NoCert,1.1945062061848148
NoCert,0.862816520417261
NoCert,1.3410615099578063
NoCert,0.9318536601230931
NoCert,1.088061401126062
NoCert,1.0652138187621496
NoCert,1.23579213790165
NoCert,1.3861204279145374
NoCert,1.518440039607773
NoCert,1.2474107092601578
NoCert,1.4961623496958132
NoCert,0.9437153756133152
NoCert,1.2126522503959303
NoCert,1.0929048466810507
NoCert,0.8988567730359076
NoCert,1.7407243141079716
NoCert,1.0173718174951947
NoCert,1.203391282112131
NoCert,1.035129344358426
NoCert,1.1295257407875858
NoCert,1.1316012452782258
NoCert,1.1277757026716766
NoCert,1.3920083491766337
NoCert,0.9685025444958093
NoCert,1.1540961918638537
NoCert,1.4712457978325217
NoCert,1.5339986538106154
NoCert,1.4129044814174245
NoCert,0.9287435481424802
NoCert,1.0075727173605022
NoCert,1.0825024170596145
NoCert,1.4454592542998435
NoCert,1.1236487740775383
NoCert,1.0647903930352614
NoCert,1.2475481185045016
NoCert,1.1028401119119635
NoCert,0.9909760350888763
NoCert,0.9520986127644018
NoCert,1.0411183650664604
NoCert,1.114566538104726
NoCert,0.6981052940499594
NoCert,1.221382201092475
NoCert,0.9539782206268905
NoCert,1.858926438015163
NoCert,1.5222528551376562
NoCert,1.147308874692361
NoCert,0.675115218051737
NoCert,1.5633882301411068
NoCert,1.15222522900191
NoCert,0.769154742106122
NoCert,0.9194071749724719
NoCert,1.5830117511073294
NoCert,1.4107093855907913
NoCert,1.2659311489237213
NoCert,1.1106659201310727
NoCert,0.8251484493008485
NoCert,1.20626044483142
NoCert,1.141645058259393
NoCert,0.833388392584951
NoCert,1.4356656049595566
NoCert,1.148943436381845
NoCert,1.208746838003098
NoCert,1.3902996018332074
NoCert,1.17690890697463
NoCert,1.1037567049315424
NoCert,1.193440866980657
NoCert,1.7386428905178481
NoCert,1.4654124983419168
NoCert,1.0125784647119818
NoCert,1.1113760229763054
NoCert,1.3199273763498072
NoCert,1.470408383691078
NoCert,1.1052607803595553
NoCert,1.0455951184147767
NoCert,1.3433254188912047
NoCert,0.9611739569281513
NoCert,1.0874943841444247
NoCert,1.129369024520055
NoCert,0.8119313015592049
NoCert,0.9480804110571194
NoCert,1.2327670035791376
NoCert,0.9549051706420383
NoCert,1.1429082730485458
NoCert,1.5301806983953177
NoCert,1.1259601090873532
NoCert,1.4915385498944622
NoCert,1.059476313827492
NoCert,1.5498272003856126
NoCert,1.1231833645768114
NoCert,1.0018295156043102
NoCert,1.1517533900262058
NoCert,1.6793679650525943
NoCert,0.9060452920824619
NoCert,0.9565450150386714
NoCert,0.9851215631165422
NoCert,1.2289715975039455
NoCert,0.9532931518308361
NoCert,1.2974114681763846
NoCert,1.3740299010386858
NoCert,0.9130475060197903
NoCert,0.8297891703658389
NoCert,1.2028622186475018
NoCert,1.150435356301109
NoCert,0.8561489695893347
NoCert,0.9719578699751396
NoCert,1.1792107024507352
NoCert,0.9388938916802015
NoCert,1.763493009817484
NoCert,1.0951031306494812
NoCert,1.1991774267192405
NoCert,0.8669435158346461
NoCert,1.6691636790463649
NoCert,1.0502203199355769
NoCert,1.1088756653399963
NoCert,1.0040028721656744
NoCert,0.8966464068306758
NoCert,1.4840758247974284
NoCert,0.8673585453422878
NoCert,1.023622677323725
NoCert,1.356888126859205
NoCert,0.9764425389105007
NoCert,0.6126041871277698
NoCert,0.7612094294340388
NoCert,0.7872671121939276
NoCert,1.2460153011427402
NoCert,0.9247031662417747
NoCert,0.8753560741753889
NoCert,0.8635439213534088
NoCert,1.432870403992533
NoCert,1.0803035292051144
NoCert,1.1972250044980355
NoCert,1.0341937253482973
NoCert,1.3209423667683415
NoCert,1.0588790365517768
NoCert,0.9125760202198361
NoCert,1.5028482518180841
NoCert,0.9063645709639686
NoCert,0.977499510677834
NoCert,1.2291770286854515
NoCert,1.0014575906902181
NoCert,0.8053336206979722
NoCert,1.064470840440201
NoCert,1.8353735485243539
NoCert,1.3601862969800385
NoCert,1.3373556519329424
NoCert,1.180418587739864
NoCert,1.373646126421832
NoCert,0.8588142000383207
NoCert,1.2028138880008963
NoCert,1.5940886182400313
NoCert,1.1261077615815067
NoCert,1.0845663854713
NoCert,1.3862848555975926
NoCert,0.8610915113228936
NoCert,2.0228756515466846
NoCert,0.9450280009084637
NoCert,1.0107923773058296
NoCert,0.7053511503184304
NoCert,1.5777558175780615
NoCert,1.0027085910937485
NoCert,1.320229523662311
NoCert,0.9750820883982559
NoCert,1.0856354820955254
NoCert,1.4657163318949462
NoCert,0.6745687202693378
NoCert,1.715358012659918
NoCert,1.0773110887566821
NoCert,0.958609090849847
NoCert,1.2603914588258094
NoCert,1.0816504849000335
NoCert,1.4010766583204495
NoCert,1.1179940440777674
NoCert,1.0833840208844459
NoCert,0.9616135924834607
NoCert,1.1027869371613295
NoCert,1.0721607595316585
NoCert,1.7365241083047611
NoCert,0.9771383460853355
NoCert,1.113096954104062
NoCert,0.9124712911602423
NoCert,1.0676743051973385
NoCert,1.3177309885793969
NoCert,1.1307038821600066
NoCert,0.9653915228921562
